transport;station_depart;time_depart;station_arrive;time_arrive;day
429; ќћћ”ЌјЋ№Ќјя ”Ћ;16:20;ѕ–»Ћ” »(—еницкий с/с);16:32;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;16:26;ѕ–»Ћ” »(—еницкий с/с);16:38;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;16:27;ѕ–»Ћ” »(—еницкий с/с);16:39;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;16:36;ѕ–»Ћ” »(—еницкий с/с);16:48;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;16:44;ѕ–»Ћ” »(—еницкий с/с);16:56;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;16:46;ѕ–»Ћ” »(—еницкий с/с);16:59;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;16:53;ѕ–»Ћ” »(—еницкий с/с);17:05;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;17:03;ѕ–»Ћ” »(—еницкий с/с);17:15;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;17:04;ѕ–»Ћ” »(—еницкий с/с);17:16;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;17:13;ѕ–»Ћ” »(—еницкий с/с);17:25;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;17:21;ѕ–»Ћ” »(—еницкий с/с);17:33;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;17:23;ѕ–»Ћ” »(—еницкий с/с);17:35;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;17:32;ѕ–»Ћ” »(—еницкий с/с);17:44;пн вт ср чт пт
211; ќћћ”ЌјЋ№Ќјя ”Ћ;17:35;ѕ–»Ћ” »(—еницкий с/с);17:47;сб вс
